Tm,sigma_Tm,src_flg
2457166.75141,0.00089,MicroObservatory(ASU)
2457177.93927,0.00097,MicroObservatory(ASU)
2457194.72580,0.00100,MicroObservatory(ASU)
2457247.87750,0.00110,MicroObservatory(ASU)
2457468.87670,0.00180,MicroObservatory(ASU)
2457566.78040,0.00160,MicroObservatory(ASU)
2458257.75960,0.00270,MicroObservatory(ASU)
2458282.93090,0.00370,MicroObservatory(ASU)
2458573.87200,0.00430,MicroObservatory(ASU)
2458587.85490,0.00280,MicroObservatory(ASU)
2459127.75100,0.00330,MicroObservatory(ASU)
2459429.88560,0.00550,MicroObservatory(ASU)
2460232.74620,0.00660,MicroObservatory(ASU)
