# Candidate,HAT-P-37b
# Period,2.797436
# All data spans days,4979.446820721962
# All data spans years,13.6
Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Rp_R*,Rp_R*_err_minus,Rp_R*_err_plus,Name,Source,Fitted_N,Fitted_N_err_minus,Fitted_N_err_plus,Fitted_L,Fitted_L_err_minus,Fitted_L_err_plus,Fitted_N2,Fitted_N2_err_minus,Fitted_N2_err_plus,Fitted_L2,Fitted_L2_err_minus,Fitted_L2_err_plus,Fixed_a,Fixed_i,Fixed_e,Fixed_arg_peri,Fixed_ldc1,Fixed_ldc2,Fixed_ldc3,Fixed_ldc4
684,2460313.8743,0.0025,0.0025,216.0,216.0,0.0993,0.0054,0.0062,HAT-P-37b_20240104-08_TESS-Sector-74,Ind_mid,0.9989,0.00045,0.00051,0.00095,0.00042,0.00042,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
685,2460316.6681,0.0016,0.0024,138.24,207.36,0.1032,0.0042,0.0048,HAT-P-37b_20240107-04_TESS-Sector-74,Ind_mid,1.00005,0.00028,0.00032,-2e-05,0.00017,0.00020,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
686,2460319.467,0.002,0.0022,172.8,190.08,0.1099,0.0053,0.0061,HAT-P-37b_20240109-23_TESS-Sector-74,Ind_mid,1.00017,0.00025,0.00028,-4e-05,0.00017,0.00015,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
687,2460322.2616,0.0016,0.0019,138.24,164.16,0.1061,0.0035,0.0040,HAT-P-37b_20240112-18_TESS-Sector-74,Ind_mid,0.99999,0.00023,0.00027,9e-05,0.00017,0.00015,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
688,2460325.0578,0.0013,0.0015,112.32,129.6,0.11,0.0035,0.0040,HAT-P-37b_20240115-13_TESS-Sector-74,Ind_mid,0.99986,0.00024,0.00027,0.00015,0.00015,0.00018,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
689,2460327.8548,0.0019,0.0021,164.16,181.44,0.1032,0.0046,0.0053,HAT-P-37b_20240118-08_TESS-Sector-74,Ind_mid,1.00003,0.00031,0.00035,4e-05,0.00019,0.00022,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
690,2460330.6575,0.0016,0.0024,138.24,207.36,0.1106,0.0040,0.0046,HAT-P-37b_20240121-03_TESS-Sector-74,Ind_mid,0.99999,0.00030,0.00034,2e-05,0.00018,0.00021,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
691,2460333.4532,0.0018,0.0021,155.52,181.44,0.11,0.0035,0.0039,HAT-P-37b_20240123-22_TESS-Sector-74,Ind_mid,1.00004,0.00029,0.00025,-4e-05,0.00013,0.00020,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
692,2460336.2518,0.0015,0.0017,129.6,146.88,0.0993,0.0037,0.0043,HAT-P-37b_20240126-18_TESS-Sector-74,Ind_mid,1.00004,0.00024,0.00027,-3e-05,0.00013,0.00019,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
693,2460339.0476,0.0012,0.0018,103.68,155.52,0.1099,0.0034,0.0038,HAT-P-37b_20240129-13_TESS-Sector-74,Ind_mid,0.99944,0.00024,0.00032,0.00095,0.00030,0.00026,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
694,2460341.8451,0.0019,0.0019,164.16,164.16,0.1118,0.0043,0.0049,HAT-P-37b_20240201-08_TESS-Sector-75,Ind_mid,1.00006,0.00035,0.00031,5e-05,0.00019,0.00021,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
695,2460344.6423,0.0016,0.0024,138.24,207.36,0.1146,0.0043,0.0050,HAT-P-37b_20240204-03_TESS-Sector-75,Ind_mid,1.00002,0.00026,0.00034,-7e-05,0.00016,0.00022,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
696,2460347.4412,0.0013,0.0015,112.32,129.6,0.1153,0.0034,0.0039,HAT-P-37b_20240206-22_TESS-Sector-75,Ind_mid,0.99995,0.00029,0.00033,0.0,0.00015,0.00020,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
697,2460350.2371,0.0014,0.0016,120.96,138.24,0.1139,0.0027,0.0041,HAT-P-37b_20240209-17_TESS-Sector-75,Ind_mid,0.99988,0.00020,0.00030,-1e-05,0.00012,0.00019,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
698,2460353.0338,0.0013,0.0019,112.32,164.16,0.1096,0.0035,0.0040,HAT-P-37b_20240212-12_TESS-Sector-75,Ind_mid,1.00015,0.00025,0.00025,-6e-05,0.00016,0.00018,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
699,2460355.8322,0.0016,0.0019,138.24,164.16,0.1152,0.0043,0.0049,HAT-P-37b_20240215-08_TESS-Sector-75,Ind_mid,1.0001,0.00031,0.00036,-0.00012,0.00019,0.00022,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
700,2460358.6285,0.0017,0.002,146.88,172.8,0.1146,0.0044,0.0044,HAT-P-37b_20240218-03_TESS-Sector-75,Ind_mid,1.00008,0.00028,0.00032,-1e-05,0.00017,0.00020,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
701,2460361.4274,0.0023,0.002,198.72,172.8,0.0965,0.0040,0.0046,HAT-P-37b_20240220-22_TESS-Sector-75,Ind_mid,1.00005,0.00029,0.00033,-0.0,0.00017,0.00020,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
702,2460364.2239,0.0016,0.0018,138.24,155.52,0.1151,0.0029,0.0044,HAT-P-37b_20240223-17_TESS-Sector-75,Ind_mid,0.99999,0.00025,0.00029,4e-05,0.00018,0.00016,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
703,2460367.0212,0.0013,0.0014,112.32,120.96,0.1215,0.0034,0.0039,HAT-P-37b_20240226-12_TESS-Sector-75,Ind_mid,1.0007,0.00027,0.00035,-0.00143,0.00030,0.00034,NA,NA,NA,NA,NA,NA,9.19,86.7,0.0,0.0,0.4957,-0.0742,0.4641,-0.2179
