# Candidate,HAT-P-37b
# Period,2.797436
# All data spans days,4979.446820721962
# All data spans years,13.6
Epoch,Tm,sigma_Tm
1670,2460313.8743,0.0025
1671,2460316.6681,0.0016
1672,2460319.467,0.002
1673,2460322.2616,0.0016
1674,2460325.0578,0.0013
1675,2460327.8548,0.0019
1676,2460330.6575,0.0016
1677,2460333.4532,0.0018
1678,2460336.2518,0.0015
1679,2460339.0476,0.0012
1680,2460341.8451,0.0019
1681,2460344.6423,0.0016
1682,2460347.4412,0.0013
1683,2460350.2371,0.0014
1684,2460353.0338,0.0013
1685,2460355.8322,0.0016
1686,2460358.6285,0.0017
1687,2460361.4274,0.0023
1688,2460364.2239,0.0016
1689,2460367.0212,0.0013
