Planet,V Mag,Dec,Period (days),Period (days) err,Depth (%),R_P R_E,R_p_err_plus,R_p_err_minus,disc_year,Err (min/5 yr),Tau_p,Years since discovery
HAT-P-19 b,12.826,+34:42:41.05,4.00878322,0,2.15,11.299,0,0,2010,0.1,0,15
HAT-P-32 b,11.439,+46:41:16.26,2.1500082,0,2.22,22.194,0,0,2011,0.2,0,14
HD 189733 b,7.67,+22:42:35.19,2.21857567,0,2.4,12.666,0,0,2005,0.2,0,20
KELT-23 A b,10.308,+66:21:31.35,2.255251,0,1.86,14.83,0,0,2019,14,0,6
TOI-1516 b,10.858,+69:30:13.43,2.056014,0,1.75,15.244,0,0,2022,2.6,0,3
TOI-2046 b,11.552,+74:19:52.70,1.4971842,0,1.63,16.141,0,0,2022,5.8,0,3
TrES-1 b,11.424,+36:37:57.13,3.03007,0,1.8,12.666,0,0,2004,6.9,0,21
TrES-2 b,11.254,+49:18:59.12,2.47063,0,1.6,15.244,0,0,2006,10.6,0,19
WASP-2 b,11.728,+06:25:45.59,2.152175,0,1.65,12.117,0,0,2007,14.7,0,18
KPS-1 b,13,+64:57:49.84,1.706291,0.000059,1.4,11.5,1.5,-1.3,2018,90.9,9.83,4
HATS-24 b,12.9,-61:44:50.64,1.3484978,0.0000009,1.6,15.6,0.6,-0.6,2017,1.8,0.86,5
Qatar-10 b,12.9,+69:34:15.01,1.645321,0.00001,1.6,17.3,0.4,-0.4,2019,16,5.08,3
WASP-36 b,12.8,-08:01:37.15,1.5373653,0.0000026,1.9,14.4,0.3,-0.3,2011,4.4,3.62,11
Qatar-1 b,12.7,+65:09:44.39,1.420023,0.000001,2.1,13,0.5,-0.5,2010,1.9,6.59,12
WASP-114 b,12.7,+10:27:46.58,1.5487743,0.0000012,0.9,15,0.7,-0.7,2016,2,1.11,6
WASP-163 b,12.7,-10:24:46.83,1.6096884,0.0000015,1.5,13.5,1.1,-1.1,2018,2.5,3.31,4
